tnew ca_PZAP ca_PSYK
1.00000 0.13218 0.13218
1.09604 0.13203 0.13217
1.19208 0.13188 0.13216
1.28812 0.13173 0.13214
1.38415 0.13158 0.13213
1.48019 0.13144 0.13212
1.57623 0.13129 0.13211
1.67227 0.13114 0.13209
1.76831 0.13099 0.13208
1.86435 0.13085 0.13207
1.96038 0.13070 0.13205
2.05642 0.13056 0.13204
2.15246 0.13042 0.13203
2.24850 0.13027 0.13202
2.34454 0.13013 0.13200
2.44058 0.12999 0.13199
2.53661 0.12985 0.13198
2.63265 0.12972 0.13197
2.72869 0.12958 0.13195
2.82473 0.12945 0.13194
2.92077 0.12932 0.13193
3.01681 0.12919 0.13192
3.11285 0.12907 0.13190
3.20888 0.12895 0.13189
3.30492 0.12882 0.13188
3.40096 0.12870 0.13187
3.49700 0.12859 0.13186
3.59304 0.12847 0.13185
3.68908 0.12836 0.13183
3.78511 0.12825 0.13182
3.88115 0.12814 0.13181
3.97719 0.12803 0.13180
4.07323 0.12792 0.13179
4.16927 0.12782 0.13178
4.26531 0.12772 0.13177
4.36134 0.12762 0.13176
4.45738 0.12753 0.13175
4.55342 0.12744 0.13174
4.64946 0.12735 0.13173
4.74550 0.12726 0.13172
4.84154 0.12718 0.13171
4.93758 0.12710 0.13171
5.03361 0.12702 0.13170
5.12965 0.12695 0.13169
5.22569 0.12687 0.13168
5.32173 0.12681 0.13167
5.41777 0.12674 0.13166
5.51381 0.12668 0.13166
5.60984 0.12662 0.13165
5.70588 0.12657 0.13164
5.80192 0.12652 0.13163
5.89796 0.12647 0.13162
5.99400 0.12642 0.13162
6.09004 0.12637 0.13161
6.18607 0.12632 0.13160
6.28211 0.12627 0.13159
6.37815 0.12623 0.13159
6.47419 0.12618 0.13158
6.57023 0.12614 0.13157
6.66627 0.12610 0.13157
6.76230 0.12606 0.13156
6.85834 0.12602 0.13155
6.95438 0.12598 0.13155
7.05042 0.12594 0.13154
7.14646 0.12591 0.13154
7.24250 0.12587 0.13153
7.33854 0.12584 0.13152
7.43457 0.12581 0.13152
7.53061 0.12578 0.13151
7.62665 0.12575 0.13151
7.72269 0.12573 0.13150
7.81873 0.12571 0.13150
7.91477 0.12569 0.13149
8.01080 0.12567 0.13149
8.10684 0.12565 0.13148
8.20288 0.12564 0.13148
8.29892 0.12563 0.13147
8.39496 0.12562 0.13147
8.49100 0.12561 0.13147
8.58703 0.12560 0.13146
8.68307 0.12560 0.13146
8.77911 0.12559 0.13146
8.87515 0.12559 0.13145
8.97119 0.12559 0.13145
9.06723 0.12558 0.13145
9.16327 0.12559 0.13145
9.25930 0.12559 0.13144
9.35534 0.12559 0.13144
9.45138 0.12560 0.13144
9.54742 0.12561 0.13144
9.64346 0.12561 0.13144
9.73950 0.12562 0.13144
9.83553 0.12563 0.13144
9.93157 0.12564 0.13144
10.02761 0.12565 0.13144
10.12365 0.12566 0.13144
10.21969 0.12566 0.13144
10.31573 0.12567 0.13144
10.41176 0.12568 0.13144
10.50780 0.12569 0.13144
10.60384 0.12571 0.13144
10.69988 0.12572 0.13144
10.79592 0.12574 0.13144
10.89196 0.12576 0.13144
10.98800 0.12578 0.13144
11.08403 0.12580 0.13144
11.18007 0.12582 0.13145
11.27611 0.12585 0.13145
11.37215 0.12588 0.13145
11.46819 0.12591 0.13145
11.56423 0.12595 0.13145
11.66026 0.12598 0.13145
11.75630 0.12601 0.13146
11.85234 0.12605 0.13146
11.94838 0.12608 0.13146
12.04442 0.12612 0.13146
12.14046 0.12616 0.13147
12.23649 0.12621 0.13147
12.33253 0.12626 0.13147
12.42857 0.12631 0.13148
12.52461 0.12637 0.13148
